# Vocabulario — 14390 palabras únicas

PALABRA                        FRECUENCIA
hálito                                  1
hélices                                 1
hércules                                1
héroe                                   4
héroes                                  1
hígado                                  2
húmeda                                  5
húmedo                                  2
húmedos                                 1
ian                                     1
iban                                    8
ibas                                    3
iceberg                                 1
ickis                                   1
iconoclasta                             1
icónico                                 1
idea                                   39
ideaba                                  1
ideado                                  2
ideal                                   7
ideando                                 2
idear                                   1
ideas                                  24
identidad                               5
identificación                          1
identificado                            2
identifican                             1
identificando                           1
identificar                             6
identificaron                           1
ideó                                    1
idioma                                  9
idiomas                                 3
ido                                    15
idoneos                                 1
idéntica                                1
idéntico                                1
idénticos                               1
idóneos                                 1
iglesia                                16
ignominia                               1
ignominiosos                            1
ignora                                  3
ignoraban                               1
ignorado                                3
ignorados                               1
ignoran                                 2
ignorancia                              6
ignorando                               1
ignorante                               3
ignorantes                              1
ignorar                                14
ignorarla                               1
ignoraron                               1
ignore                                  1
ignoren                                 2
ignoro                                  1
ignoró                                  6
igual                                  23
igualmente                              2
iguazú                                  1
ilegal                                  2
ilegales                                1
ilegalidad                              3
ilegibles                               1
ilumina                                 1
iluminado                               1
iluminar                                3
iluminaran                              1
ilumine                                 2
iluminó                                 3
ilusiona                                2
ilusiones                               8
ilusión                                 6
ilusos                                  1
ilustrado                               1
ilustres                                1
imagen                                 13
imaginaba                               3
imaginación                            13
imaginado                               1
imaginar                                7
imaginario                              1
imaginarios                             1
imaginarme                              1
imaginarse                              3
imaginará                               3
imaginarás                              1
imaginate                               1
imaginese                               1
imagino                                 7
imaginándose                            1
imaginé                                 1
imaginó                                 1
imagínese                               6
imberbes                                1
imbécil                                 2
imitar                                  1
impaciencia                             1
impacientarnos                          1
impaciente                              1
impactado                               1
impactan                                1
impacto                                 1
impactó                                 3
imparable                               1
impartir                                1
impartían                               1
impecable                               1
impecablemente                          1
impedidas                               1
impedir                                 2
impediría                               1
impedía                                 1
imperante                               1
imperfección                            1
imperfectos                             2
imperialistas                           1
imperio                                 1
impertinente                            1
impertinentes                           1
impide                                  4
impiden                                 1
impidió                                 2
implacable                              3
implementación                          2
implica                                 8
implicaba                               1
implicaciones                           1
implican                                2
implicita                               1
implicitamente                          1
imploraron                              1
implícita                               1
implícitamente                          2
implícito                               1
impoluta                                1
impoluto                                1
impone                                  1
imponente                               2
imponentes                              1
imponer                                 1
imponerle                               1
imponía                                 1
imponían                                1
impopularidad                           2
importa                                11
importaba                               2
importan                                1
importancia                             2
importante                             27
importantes                             5
importar                                1
importara                               1
imposibilidad                           2
imposible                               9
imposibles                              2
imposición                              1
impotencia                              2
impotente                               1
impregna                                1
impregnado                              1
impresas                                1
impresiona                              1
impresionante                           4
impresionó                              2
impresión                               1
imprevistos                             1
improbable                              1
improvisada                             2
improvisados                            1
impuestas                               1
impuesto                                2
impulsar                                1
impulso                                 2
impulsos                                1
impávida                                2
impávido                                3
imágenes                                2
inaceptable                             1
inadaptados                             1
inadmisible                             1
inalterable                             1
inapetencia                             1
inaudibles                              1
inauguración                            1
incalculables                           1
incandescente                           1
incansablemente                         1
incapacidad                             8
incapacitado                            2
incapaz                                 6
incendio                                3
incentivar                              1
incentivarlo                            1
incertidumbre                          10
incesante                               2
incidentalmente                         1
incidente                               2
incinerado                              1
incipiente                              1
inclemencia                             3
inclemencias                            1
inclemente                              2
inclementes                             1
inclinación                             3
inclinada                               2
inclinado                               2
incluidos                               1
incluso                                17
incluía                                 1
incluído                                1
incomodaba                              1
incomodarle                             2
incomodarme                             2
incomodará                              1
incomodas                               1
incomodidad                             1
incompatibilidad                        1
incompleta                              1
inconcebible                            1
inconcientes                            1
inconclusas                             1
inconclusión                            1
inconcluso                              1
incondicional                           1
incondicionalmente                      1
inconexa                                1
inconexas                               1
inconfundible                           1
incongruencia                           1
incongruente                            1
inconmensurable                         1
inconsciencia                           1
inconsciente                            4
inconscientemente                       2
inconsistencia                          1
incontenible                            1
incontinencia                           1
inconveniente                           1
incorporaba                             4
incorporada                             1
incorporadas                            1
incorporado                             2
incorporados                            1
incorporar                              3
incorporara                             2
incorporarlo                            1
incorporaron                            1
incorporarse                            2
incorpore                               1
incorporo                               1
incorporó                               6
incorpórea                              1
incorrecta                              1
incorrecto                              2
incrementa                              1
incrementaba                            2
incrementando                           1
incrementar                             1
incremento                              1
increpara                               1
increparla                              1
increparlos                             1
increpó                                 4
increíble                               2
increíblemente                          2
incriminaciones                         1
incrédulo                               1
incursiones                             1
incursión                               2
incógnita                               1
incómodaba                              1
incómodo                                3
indaga                                  1
indagar                                 1
indecisión                              1
indefectible                            1
indefectiblemente                       2
indeleble                               2
indelebles                              1
indemostrables                          1
independencia                           3
independiente                           1
independientes                          1
independizar                            1
independizaron                          1
independizarse                          1
indescriptible                          1
indetificar                             1
india                                   2
indica                                  3
indicaba                                2
indicaban                               1
indicada                                1
indicado                                2
indicador                               2
indicadores                             1
indicando                               2
indicaron                               1
indicarían                              1
indicio                                 1
indicios                                2
indico                                  1
indicó                                  6
indiferencia                            1
indiferente                             3
indigencia                              2
indigente                               1
indignación                             8
indignada                               1
indignados                              1
indignante                              1
indignaron                              1
indignarse                              1
indigne                                 1
indignos                                1
indique                                 2
indiqué                                 1
indiscriminadamente                     1
indiscutiblemente                       2
individuales                            1
individuo                              11
individuos                              6
indolente                               1
industrial                              1
industrias                              1
indígena                                1
ineficiente                             1
inequivocamente                         1
inerte                                  2
inertes                                 1
inescrupuloso                           1
inesperada                              1
inesperadamente                         1
inesperado                              1
inevitable                              4
inevitablemente                         1
inevitablmente                          1
inexorable                              1
infalible                               2
infamemente                             1
infames                                 1
infancia                               11
infante                                 1
infantil                                3
infectadas                              1
infelicidad                             1
inferior                                1
infernal                                1
infestaran                              1
infiel                                  2
infierno                                9
infiernos                               1
infiltración                            1
infiltrado                              2
infiltrados                             1
infinidad                               1
infinita                                6
infinitamente                           4
infinitas                               2
infinito                                4
infinitos                               1
infinitum                               5
inflado                                 2
inflados                                1
inflamado                               1
inflar                                  1
inflara                                 1
inflexible                              1
inflexión                               3
influencia                              1
influir                                 2
influye                                 1
infnitamente                            1
informa                                 1
informaban                              1
información                            23
informadas                              1
informado                               3
informados                              1
informarle                              1
informe                                 4
informo                                 1
informática                             1
infraestructura                         1
infranqueable                           1
infringe                                1
infulas                                 1
infímos                                 1
ingeniería                              1
ingentes                                1
ingenuidad                              2
ingenuo                                 4
ingesta                                 1
inglaterra                              6
ingleses                                3
inglés                                  4
ingresa                                 1
ingresaban                              1
ingresar                                4
ingresara                               1
ingreso                                 2
ingresó                                 1
inhabilitado                            1
inherente                               1
inherentemente                          1
inhóspitas                              1
inhóspito                               1
inicia                                  1
iniciado                                2
inicial                                 1
iniciales                               1
inicialmente                            2
iniciando                               1
iniciar                                 3
iniciaran                               1
iniciarían                              1
inicie                                  1
inicio                                  5
inicié                                  2
inició                                  3
inicuo                                  1
injusta                                 2
injusticia                              1
inmaculada                              2
inmaculado                              3
inmadurez                               1
inmediaciones                           1
inmediata                               3
inmediatamente                          7
inmediatas                              1
inmediato                               6
inmensamente                            1
inmensidad                              1
inmenso                                 1
inmerso                                 1
inmersos                                1
inmesurablemente                        1
inmigrantes                             1
inminente                               3
inmiscuye                               2
inmiscuí                                1
inmolación                              1
inmolese                                1
inmortal                                1
inmovilizaba                            1
inmovilizadora                          1
inmovilizaron                           1
inmutable                               1
inmutado                                1
inmutaron                               1
inmutó                                  1
innovación                              2
innovador                               1
innumerables                            3
inocencia                               2
inocente                                2
inocentes                               2
inodoro                                 3
inofensivo                              1
inoportuno                              1
inpares                                 1
inquebrantable                          1
inquieta                                2
inquietarse                             1
inquieto                                1
inquietó                                1
inquisición                             1
inquisitiva                             1
inquisitivo                             1
insalvables                             1
insatisfecha                            1
insatisfechas                           1
inscribir                               1
insectos                                1
inseguridad                             2
inseguro                                1
inseguros                               1
insensato                               1
insidioso                               1
insignificante                          1
insignificantes                         1
insinuar                                1
insista                                 1
insiste                                 3
insisten                                3
insistencia                             1
insistir                                2
insistió                                8
insisto                                 2
insistía                                2
insolencia                              3
insolente                               1
insoportable                            7
insoportablemente                       3
insoportables                           1
insoslayable                            1
inspeccionó                             1
inspira                                 1
inspiración                             1
inspirado                               1
insportable                             1
instagram                               1
instalación                             2
instalada                               1
instalando                              1
instalar                                1
instalarla                              1
instante                               20
instantes                               1
instantáneamente                        1
instantáneo                             3
instintiva                              1
instintivamente                         1
instinto                                8
instintos                               3
instituciones                           4
institución                             9
instrucciones                           4
instrumento                             3
instruya                                1
instruía                                1
insuficiente                            1
insultada                               1
insulto                                 1
insumos                                 1
insurgencia                             2
intacto                                 3
intactos                                1
integral                                1
integrantes                             1
integrar                                1
integridad                              2
intelectual                             6
intelectuales                           1
inteligencia                           11
inteligente                             8
intempestiva                            2
intenciones                             3
intención                               5
intensa                                 2
intensas                                1
intensidades                            1
intenta                                 1
intentaba                               1
intentado                               1
intentar                                1
intentarlo                              1
intentaré                               1
intenten                                1
intentes                                1
intento                                 5
intentos                                1
intenté                                 2
intentó                                 3
interacciones                           2
interacción                             3
interactiva                             1
interactuar                             1
interactuás                             1
intercambian                            2
intercambiar                            2
intercambio                             4
interceder                              1
intercedí                               1
interceptara                            1
intercomunicación                       1
intereactuar                            1
interesa                                4
interesaba                              1
interesaban                             1
interesada                              1
interesadas                             1
interesado                              1
interesamos                             1
interesante                             6
interesara                              1
intereses                               4
interesé                                1
interior                                5
interiores                              1
interioricé                             1
interiorizado                           2
interlocutora                           1
interlocutores                          1
intermediarios                          1
interminable                            1
interminables                           1
intermitencia                           1
intermitente                            1
interna                                 3
internacional                           4
internacionales                         2
internado                               1
internas                                2
internet                               10
interno                                 3
interpeló                               1
interponen                              1
interpreta                              6
interpretaban                           1
interpretaciones                        4
interpretación                          6
interpretado                            1
interpretando                           1
interpretar                             9
interpretarlo                           1
interrogante                            2
interrogantes                           1
interrumpan                             1
interrumpe                              3
interrumpida                            1
interrumpido                            1
interrumpiera                           1
interrumpieran                          1
interrumpieron                          1
interrumpir                             2
interrumpió                             7
interrumpía                             1
interrupción                            2
interruptor                             3
intervención                            1
intervenga                              1
intervienen                             1
interviniera                            1
intervino                               1
interés                                 9
interín                                 1
intestinales                            1
intestinos                              1
intimidad                               3
intimidar                               1
intimidó                                1
intocable                               1
intolerancia                            5
intolerante                             1
intoxicada                              1
intoxicado                              1
intriga                                 1
intrincado                              1
introducción                            2
introducido                             1
introduje                               1
introspectivo                           1
introvertida                            1
introvertido                            1
intuición                               1
inunda                                 10
inundaba                                5
inundado                                1
inundan                                 1
inundando                               1
inundar                                 1
inundaron                               1
inundó                                  4
inusitada                               2
inusitado                               1
inusual                                 2
inutilidad                              2
invadidas                               1
invadido                                1
invadiendo                              2
invadirla                               1
invadió                                 5
invadía                                 9
invadían                                2
invasión                                1
invencible                              2
invención                               1
inventada                               1
inventado                               1
inventamos                              2
inventan                                1
inventando                              1
inventario                              2
inventarme                              2
inventarse                              1
invente                                 1
invento                                 3
inventos                                2
invernal                                1
inversa                                 2
inversiones                             1
inversionistas                          1
inversión                               2
invertida                               1
invertido                               2
invertir                                3
investigaciones                         1
investigación                           2
investigo                               1
inviable                                1
invierno                               17
invierta                                1
invierten                               3
invirtiendo                             1
invisible                               5
invisibles                              1
invisiblizan                            1
invita                                  1
invitaba                                1
invitación                              6
invitados                               1
invitan                                 1
invitarle                               1
invitarlo                               1
invito                                  1
invocar                                 1
involucra                               1
involucrada                             2
involucradas                            1
involucrar                              1
inyecta                                 1
inyectan                                1
inzanjable                              1
inútil                                 10
inútiles                                2
inútilmente                             1
ioel                                    1
iosifovich                              1
iphone                                  3
ipso                                    1
ira                                    12
iracundo                                1
irak                                    2
ireverencia                             1
irguiera                                1
irguió                                  1
iris                                    1
irlanda                                 2
irme                                    2
ironía                                  2
ironías                                 1
irradiado                               1
irreconciliables                        1
irreductibilidad                        1
irreductible                            1
irreductiblemente                       4
irreductibles                           1
irreemplazable                          1
irrefutables                            1
irregular                               1
irremediablemente                       2
irrepresentable                         3
irrespeto                               1
irrespetuoso                            1
irresponsabilidad                       3
irresponsable                           2
irresponsables                          3
irreverencia                            3
irreverente                             3
irreversibles                           1
irrisoria                               2
irrumpe                                 1
irse                                    2
irán                                    1
iré                                     1
iría                                    3
irían                                   3
irónica                                 1
irónico                                 2
isaac                                   1
isla                                    3
islas                                   1
israel                                  3
italia                                  2
italiana                                1
italiano                                4
iteración                               1
iterar                                  1
izquierda                               8
jabones                                 1
jadeando                                1
jadeante                                2
jadeo                                   1
jamás                                   4
japa                                    3
japonés                                 1
japón                                   1
jaque                                   2
jardines                                1
jardín                                  8
javier                                 11
jean                                    6
jeans                                   2
jefe                                    8
jefes                                   2
jeff                                    1
jehová                                  4
jengibre                                1
jerarquía                               3
jesucristo                              6
jesus                                   1
jet                                     1
jim                                     4
jiménez                                 1
jinete                                  2
jinetes                                 1
jirones                                 1
joaquín                                17
joda                                    2
jodas                                   1
jode                                    3
jodida                                  2
jodido                                  2
jodiendo                                1
jodió                                   1
johny                                   1
joining                                 1
jones                                   1
jorge                                  13
jornada                                 7
joseph                                  1
joven                                   7
jovencitos                              1
joyas                                   1
jpg                                     2
juan                                   52
juancito                                3
judaísmo                                1
judíos                                  5
jueces                                  1
juega                                   5
juegan                                  1
juego                                   8
jueves                                  6
juez                                    1
jugaba                                  2
jugaban                                 1
jugada                                  3
jugado                                  1
jugadores                               2
jugamos                                 2
jugando                                 7
jugar                                  14
jugo                                    3
jugosas                                 1
jugoso                                  1
juguete                                 1
juguetea                                1
juguetes                                3
jugábamos                               3
juicio                                  5
juicios                                 4
juli                                    1
julian                                  2
julio                                   1
julián                                  2
jung                                    1
junio                                   1
junta                                   3
juntaba                                 1
juntar                                  1
juntas                                  1
junto                                  12
juntos                                  9
juntó                                   3
juramento                               1
juran                                   1
jurar                                   3
juraste                                 1
jurisdicción                            1
juro                                    2
juré                                    4
juró                                    1
justa                                   2
justamente                              4
justicia                                3
justifica                               1
justificación                           1
justificar                              1
justificarla                            1
justificarme                            1
justin                                  2
justo                                  23
juvenil                                 1
juveniles                               1
juventud                                6
juzgaban                                1
juzgado                                 1
juzgar                                  2
juzgo                                   1
jóvenes                                 7
júbilo                                  5
júpiter                                 2
kabardino                               1
karamazov                               1
karl                                    1
kat                                     1
khodeir                                 1
kilométrico                             1
kilos                                   1
kilómetros                              7
kindle                                  2
king                                    1
kirchner                                1
kissinger                               1
kris                                    2
krupp                                   4
kundera                                 1
kvokk                                   1
laberinto                              10
laberíntica                             1
labio                                   1
labios                                 20
labor                                   4
laboral                                 3
laboratorio                             2
labrarle                                1
labrarse                                1
lacan                                   1
lacaniana                               1
lacaniano                               1
laderas                                 1
lado                                   56
lados                                   3
ladridos                                1
ladrillos                               1
ladrona                                 1
ladrones                                1
ladrón                                  1
lag                                     1
lagañoso                                2
lago                                    4
lagrimas                                3
lala                                    1
lamentan                                1
lamentarse                              1
lamento                                 1
lamentos                                1
lamentándose                            1
lampara                                 1
lamparita                               1
lancé                                   1
lanka                                   1
lanza                                   7
lanzaban                                1
lanzando                                1
lanzar                                  1
lanzó                                   6
lapicera                                1
lapsus                                  1
larga                                  14
largaron                                1
largas                                  3
largo                                  20
largos                                  2
largue                                  2
largó                                   1
larva                                   1
lastima                                 1
lastimaba                               1
lastimado                               1
lastimarla                              1
lastimarlo                              1
lastimarse                              1
lastimó                                 1
lat                                     2
lata                                    1
late                                    3
latente                                 2
lateral                                 1
latido                                  1
latidos                                 1
latiendo                                2
latiguillo                              1
latina                                  4
latinas                                 1
latinoamerica                           1
latinoamericano                         1
latir                                   1
latirían                                1
latín                                   2
latón                                   1
laura                                   4
laureado                                1
laureles                                1
lava                                    2
lavaba                                  3
lavado                                  2
lavandería                              1
lavando                                 1
lavaplatos                              1
lavar                                   1
lavarme                                 1
lavaron                                 1
lavó                                    1
lea                                     1
leal                                    1
leales                                  2
lealtad                                 1
lealtades                               1
lean                                    1
lebensborn                              1
lección                                 1
leche                                   2
lechuga                                 2
lechuza                                 6
lector                                  7
lectores                                1
lectura                                27
lecturas                                2
lee                                     8
leemos                                  1
leen                                    3
leer                                   49
leerán                                  1
legales                                 2
legalidad                               1
legiones                                1
legitimada                              1
legitimidad                             2
leidy                                   1
leit                                    1
lejanas                                 1
lejano                                  2
lejanos                                 1
lejos                                  18
lem                                     2
lengua                                  6
lenguaje                               17
lenguas                                 1
lenta                                   1
lentamente                             12
lentejo                                 1
lentes                                  5
lentitud                                2
lento                                   1
leo                                     2
leopardo                                1
lerda                                   1
lerdas                                  1
lerna                                   1
lesbiana                                2
lesbianas                               1
letal                                   1
letanía                                 1
letra                                   1
letras                                  7
letrero                                 1
leucemia                                1
levanta                                 2
levantaba                               1
levantabas                              1
levantado                               1
levantamiento                           1
levantan                                1
levantando                              2
levantar                                3
levantaron                              1
levante                                 1
levanto                                 7
levantábamos                            1
levanté                                 2
levantó                                14
leve                                    1
levedad                                 2
levemente                               3
levi                                    1
leviatán                                1
levis                                   1
levito                                  1
lewis                                   1
ley                                    13
leyendo                                15
leyes                                   7
leyó                                    1
